id,material name,T,Mo,Ni,W,Al,Cr,Ti,Si,Cu,Fe,Co,Mn,V,Zr,Hf,Ta,Nb,dm,classification
23,316 ss steel,900,1.7,11.2,0,0,17.7,0,1.5,0,62.4,0,2,0,0,0,0,0,0.89,0
23,316 ss steel,1000,1.7,11.2,0,0,17.7,0,1.5,0,62.4,0,2,0,0,0,0,0,6.22,2
24,20Nb-20Cr-20Mo-20Ti-10Al,1300,20.01,0,0,9.97,24.7,23.5,0,0,0,0,0,0,0,0,0,21.81,150.26,2
25,20Nb-20Cr-20Mo-20V-10Al,1300,22.16,0,0,10.15,23.04,0,0,0,0,0,0,22.2,0,0,0,22.5,346.33,2
26,18Nb-18Cr-18Mo-18Ti-18V-8Al,1300,18.08,0,0,8.15,18.92,18.12,0,0,0,0,0,18.4,0,0,0,18.35,268.45,2
27,17Nb-17Cr-17Mo-17Ti-17V-8Al-6Si ,1300,17.14,0,0,6.96,16.95,18.26,5.69,0,0,0,0,17.3,0,0,0,17.68,196.07,2
28,25Nb-25Ti-25Zr-25V,1000,0,0,0,0,0,24.5,0,0,0,0,0,23,24.2,0,0,28.3,235.13,2
29,25Nb-25Ti-25Zr-25Cr,1000,0,0,0,0,24.6,23.9,0,0,0,0,0,0,24.8,0,0,26.7,65.06,2
30,10Al-22.5Co-22.5Cr-22.5Fe-22.5Ni,700,0,22.5,0,10,22.5,0,0,0,22.5,22.5,0,0,0,0,0,0,0.81,2
30,10Al-22.5Co-22.5Cr-22.5Fe-22.5Ni,800,0,22.5,0,10,22.5,0,0,0,22.5,22.5,0,0,0,0,0,0,3.07,1
30,10Al-22.5Co-22.5Cr-22.5Fe-22.5Ni,900,0,22.5,0,10,22.5,0,0,0,22.5,22.5,0,0,0,0,0,0,4.85,2
30,10Al-22.5Co-22.5Cr-22.5Fe-22.5Ni,1050,0,22.5,0,10,22.5,0,0,0,22.5,22.5,0,0,0,0,0,0,1.27,0
31,T91 steel,900,0.6,0,0,0,10.1,0,0.99,0,86.73,0,0.6,0.27,0,0,0,0.06,63.71,2
32,SA 516 steel,900,0,0,0,0,0,0,0.2,0,97.62,0,0.94,0,0,0,0,0,130.56,2
33,T22 steel,900,0.66,0,0,0,2.78,0,0.5,0,94.76,0,0.61,0,0,0,0,0,163.59,2
34,60Co-20Ni-9Al-9W-2Cr,900,0,20,9,9,2,0,0,0,0,60,0,0,0,0,0,0,3.2,2
34,60Co-20Ni-9Al-9W-2Cr,1000,0,20,9,9,2,0,0,0,0,60,0,0,0,0,0,0,6.9,2
35,58Co-20Ni-9Al-9W-4Cr,900,0,20,9,9,4,0,0,0,0,58,0,0,0,0,0,0,2.7,2
35,58Co-20Ni-9Al-9W-4Cr,1000,0,20,9,9,4,0,0,0,0,58,0,0,0,0,0,0,5.9,1
36,56Co-20Ni-9Al-9W-6Cr,900,0,20,9,9,6,0,0,0,0,56,0,0,0,0,0,0,2.6,2
36,56Co-20Ni-9Al-9W-6Cr,1000,0,20,9,9,6,0,0,0,0,56,0,0,0,0,0,0,4,0
37,54Co-20Ni-9Al-9W-8Cr,900,0,20,9,9,8,0,0,0,0,54,0,0,0,0,0,0,1.9,1
37,54Co-20Ni-9Al-9W-8Cr,1000,0,20,9,9,8,0,0,0,0,54,0,0,0,0,0,0,3,0
38,52Co-20Ni-9Al-9W-10Cr,900,0,20,9,9,10,0,0,0,0,52,0,0,0,0,0,0,0.4,0
